 RI_ACCESSION 	 GENUS        	 SPECIES      	 ACP          	 ACNO         	 ACCID        	 GEOCTY       	 GEOSTA       	 LAT          	 LON          	 ACELLO       	 LOCALITY     	 PEDIGREE     	 SAMPSTAT     	 SOURCE       	 KERNELS      	 NOTES        	 FLAG         
RIAM0001	Apluda	mutica	PI	219568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	leaf tissu in the -80C from Kellogg Elizabeth	NA
RIAN0001	Arundinella	nepalensis	PI	384059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIBD0001	Brachypodium	distachyon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	W6 36678 'Bd21' 30 seeds 2012i\ 6 days @ 4C in dark\ 	NA
RICC0001	Chasmopodium	caudatum	kew	184054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	leaf tissu in the -80C from Kellogg Elizabeth	NA
RICK0001	Chionachne	koenigii 	SN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RICS0001	Chrysopogon	serrulatus	PI	219580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RICZ0001	Chrysopogon	zizanioides	PI	271633	NA	NA	NA	NA	NA	NA	NA	NA	NA	USDA	NA	PI 271633 02 SD	NA
RICZ0002	Chrysopogon	zizanioides	PI	302300	NA	NA	NA	NA	NA	NA	NA	NA	NA	USDA	NA	PI 302300 01 SD	NA
RICZ0003	Chrysopogon	zizanioides	PI	538757	NA	NA	NA	NA	NA	NA	NA	NA	NA	USDA	NA	PI 538757 01 SD	NA
RID0001	Zea	diploperennis	Ames	21884	87281	Mexico	Jalisco	19.5875	-104.264	1925	Near houses at Zarza mora (Blackberry)  about 2 km east of Las Joyas  6 km west-southwest of Rincon de Manantlan  15 km south-southwest of El Chante  top of Sierra de Manantlan Occidental. Roadside and old fields.	NA	Wild	USDA	NA	NA	NA
RID0002	Zea	diploperennis	Ames	21890	87289	Mexico	Jalisco	19.5833	-104.283	1950	Just east of buildings forming Zarzamora (also called Estacion Biologica \Las Joyas\")  2 km east-southeast of Las Joyas  7 km west-southwest of Rincon de Manantlan  and 11 km south-southeast of Ahuacapan  Sierra de Manantlan Occidental. Thickets along stream in abandoned peach orchard."	NA	Wild	USDA	NA	NA	NA
